title,year,quality,folder_path,file_path,size_bytes,container,original_path,fallback_mp4_path,has_mp4_fallback
Mighty Morphin Power Rangers The Movie,1995,1080p,/media/tushita/TUSHITA_W11_DATA/movies/Mighty Morphin Power Rangers The Movie (1995) [1080p] [BluRay] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Mighty Morphin Power Rangers The Movie (1995) [1080p] [BluRay] [5.1] [YTS.MX]/Mighty.Morphin.Power.Rangers.The.Movie.1995.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,1892554197,mp4,/media/tushita/TUSHITA_W11_DATA/movies/Mighty Morphin Power Rangers The Movie (1995) [1080p] [BluRay] [5.1] [YTS.MX]/Mighty.Morphin.Power.Rangers.The.Movie.1995.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,False
,,,/media/tushita/TUSHITA_W11_DATA/movies/Miyazaki,/media/tushita/TUSHITA_W11_DATA/movies/Miyazaki/[Tekeremata][Ghibli] - 17 - Gake no ue no Ponyo [BD][Animelv.net].mp4,486279527,mp4,/media/tushita/TUSHITA_W11_DATA/movies/Miyazaki/[Tekeremata][Ghibli] - 17 - Gake no ue no Ponyo [BD][Animelv.net].mp4,,False
Moana 2,2024,2160p,/media/tushita/TUSHITA_W11_DATA/movies/Moana 2 (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Moana 2 (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Moana.2.2024.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,4773949129,mkv,/media/tushita/TUSHITA_W11_DATA/movies/Moana 2 (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Moana.2.2024.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,,False
Blade Runner 2049,2017,2160p,/media/tushita/TUSHITA_W11_DATA/movies/Blade Runner 2049 (2017) [2160p] [4K] [BluRay] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Blade Runner 2049 (2017) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Blade.Runner.2049.2017.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,8336156996,mkv,/media/tushita/TUSHITA_W11_DATA/movies/Blade Runner 2049 (2017) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Blade.Runner.2049.2017.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,,False
Brazil,1985,2160p,/media/tushita/TUSHITA_W11_DATA/movies/Brazil (1985) [2160p] [4K] [BluRay] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Brazil (1985) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Brazil.1985.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,6989000219,mkv,/media/tushita/TUSHITA_W11_DATA/movies/Brazil (1985) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Brazil.1985.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,,False
Burn-E,2008,1080p,/media/tushita/TUSHITA_W11_DATA/movies/Burn-E (2008) [1080p] [BluRay] [x265] [10bit] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Burn-E (2008) [1080p] [BluRay] [x265] [10bit] [5.1] [YTS.MX]/Burn-E.2008.1080p.BluRay.x265.10bit.AAC5.1-[YTS.MX].mp4,135892555,mp4,/media/tushita/TUSHITA_W11_DATA/movies/Burn-E (2008) [1080p] [BluRay] [x265] [10bit] [5.1] [YTS.MX]/Burn-E.2008.1080p.BluRay.x265.10bit.AAC5.1-[YTS.MX].mp4,,False
Charade,1963,BluRay,/media/tushita/TUSHITA_W11_DATA/movies/Charade (1963) [BluRay] [1080p] [YTS.AM],/media/tushita/TUSHITA_W11_DATA/movies/Charade (1963) [BluRay] [1080p] [YTS.AM]/Charade.1963.1080p.BluRay.x264-[YTS.AM].mp4,1918545335,mp4,/media/tushita/TUSHITA_W11_DATA/movies/Charade (1963) [BluRay] [1080p] [YTS.AM]/Charade.1963.1080p.BluRay.x264-[YTS.AM].mp4,,False
Chicken Run,2000,1080p,/media/tushita/TUSHITA_W11_DATA/movies/Chicken Run (2000) [1080p],/media/tushita/TUSHITA_W11_DATA/movies/Chicken Run (2000) [1080p]/Chicken.Run.2000.1080p.BrRip.x264.Deceit.YIFY.mp4,1189541078,mp4,/media/tushita/TUSHITA_W11_DATA/movies/Chicken Run (2000) [1080p]/Chicken.Run.2000.1080p.BrRip.x264.Deceit.YIFY.mp4,,False
Chicken Run Dawn Of The Nugget,2023,1080p,/media/tushita/TUSHITA_W11_DATA/movies/Chicken Run Dawn Of The Nugget (2023) [1080p] [WEBRip] [x265] [10bit] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Chicken Run Dawn Of The Nugget (2023) [1080p] [WEBRip] [x265] [10bit] [5.1] [YTS.MX]/Chicken.Run.Dawn.Of.The.Nugget.2023.1080p.WEBRip.x265.10bit.AAC5.1-[YTS.MX].mp4,2268556538,mp4,/media/tushita/TUSHITA_W11_DATA/movies/Chicken Run Dawn Of The Nugget (2023) [1080p] [WEBRip] [x265] [10bit] [5.1] [YTS.MX]/Chicken.Run.Dawn.Of.The.Nugget.2023.1080p.WEBRip.x265.10bit.AAC5.1-[YTS.MX].mp4,,False
Conan The Barbarian,1982,1080p,/media/tushita/TUSHITA_W11_DATA/movies/Conan The Barbarian (1982) [1080p] [YTS.AG],/media/tushita/TUSHITA_W11_DATA/movies/Conan The Barbarian (1982) [1080p] [YTS.AG]/Conan.The.Barbarian.1982.1080p.BluRay.x264-[YTS.AG].mp4,2123228502,mp4,/media/tushita/TUSHITA_W11_DATA/movies/Conan The Barbarian (1982) [1080p] [YTS.AG]/Conan.The.Barbarian.1982.1080p.BluRay.x264-[YTS.AG].mp4,,False
Conan The Destroyer,1984,1080p,/media/tushita/TUSHITA_W11_DATA/movies/Conan The Destroyer (1984) [1080p] [YTS.AG],/media/tushita/TUSHITA_W11_DATA/movies/Conan The Destroyer (1984) [1080p] [YTS.AG]/Conan.The.Destroyer.1984.1080p.BluRay.x264-[YTS.AG].mp4,1640117834,mp4,/media/tushita/TUSHITA_W11_DATA/movies/Conan The Destroyer (1984) [1080p] [YTS.AG]/Conan.The.Destroyer.1984.1080p.BluRay.x264-[YTS.AG].mp4,,False
Deathstalker,1983,1080p,/media/tushita/TUSHITA_W11_DATA/movies/Deathstalker (1983) [1080p] [BluRay] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Deathstalker (1983) [1080p] [BluRay] [YTS.MX]/Deathstalker.1983.1080p.BluRay.x264.AAC-[YTS.MX].mp4,1427018944,mp4,/media/tushita/TUSHITA_W11_DATA/movies/Deathstalker (1983) [1080p] [BluRay] [YTS.MX]/Deathstalker.1983.1080p.BluRay.x264.AAC-[YTS.MX].mp4,,False
Demolition Man,1993,2160p,/media/tushita/TUSHITA_W11_DATA/movies/Demolition Man (1993) [2160p] [4K] [BluRay] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Demolition Man (1993) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Demolition.Man.1993.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,5552492007,mkv,/media/tushita/TUSHITA_W11_DATA/movies/Demolition Man (1993) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Demolition.Man.1993.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,,False
Despicable Me 4,2024,2160p,/media/tushita/TUSHITA_W11_DATA/movies/Despicable Me 4 (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Despicable Me 4 (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Despicable.Me.4.2024.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,4520877625,mkv,/media/tushita/TUSHITA_W11_DATA/movies/Despicable Me 4 (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Despicable.Me.4.2024.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,,False
Monty Python And The Holy Grail,1975,BluRay,/media/tushita/TUSHITA_W11_DATA/movies/Monty Python And The Holy Grail (1975) [BluRay] [1080p] [YTS.AM],/media/tushita/TUSHITA_W11_DATA/movies/Monty Python And The Holy Grail (1975) [BluRay] [1080p] [YTS.AM]/Monty.Python.And.The.Holy.Grail.1975.1080p.BluRay.x264-[YTS.AM].mp4,1567817198,mp4,/media/tushita/TUSHITA_W11_DATA/movies/Monty Python And The Holy Grail (1975) [BluRay] [1080p] [YTS.AM]/Monty.Python.And.The.Holy.Grail.1975.1080p.BluRay.x264-[YTS.AM].mp4,,False
Moonshine Highway,1996,1080p,/media/tushita/TUSHITA_W11_DATA/movies/Moonshine Highway (1996) [1080p] [WEBRip] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Moonshine Highway (1996) [1080p] [WEBRip] [YTS.MX]/Moonshine.Highway.1996.1080p.WEBRip.x264.AAC-[YTS.MX].mp4,1712491054,mp4,/media/tushita/TUSHITA_W11_DATA/movies/Moonshine Highway (1996) [1080p] [WEBRip] [YTS.MX]/Moonshine.Highway.1996.1080p.WEBRip.x264.AAC-[YTS.MX].mp4,,False
My Cousin Vinny,1992,1080p,/media/tushita/TUSHITA_W11_DATA/movies/My Cousin Vinny (1992) [1080p] [YTS.AG],/media/tushita/TUSHITA_W11_DATA/movies/My Cousin Vinny (1992) [1080p] [YTS.AG]/My.Cousin.Vinny.1992.1080p.BluRay.x264-[YTS.AG].mp4,1931208135,mp4,/media/tushita/TUSHITA_W11_DATA/movies/My Cousin Vinny (1992) [1080p] [YTS.AG]/My.Cousin.Vinny.1992.1080p.BluRay.x264-[YTS.AG].mp4,,False
,,,/media/tushita/TUSHITA_W11_DATA/movies/Nausicaa of the Valley of the Wind (1984) 1080p [Jpn & Eng] Blu-ray (Pre-Studio Ghibli),/media/tushita/TUSHITA_W11_DATA/movies/Nausicaa of the Valley of the Wind (1984) 1080p [Jpn & Eng] Blu-ray (Pre-Studio Ghibli)/Nausicaa of the Valley of the Wind (1984) 1080p [Jpn & Eng] Blu-ray (Pre-Studio Ghibli).mp4,2357954784,mp4,/media/tushita/TUSHITA_W11_DATA/movies/Nausicaa of the Valley of the Wind (1984) 1080p [Jpn & Eng] Blu-ray (Pre-Studio Ghibli)/Nausicaa of the Valley of the Wind (1984) 1080p [Jpn & Eng] Blu-ray (Pre-Studio Ghibli).mp4,,False
Nausicaa Of The Valley Of The Wind,1984,JAPANESE,/media/tushita/TUSHITA_W11_DATA/movies/Nausicaa Of The Valley Of The Wind (1984) [JAPANESE] [1080p] [BluRay] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Nausicaa Of The Valley Of The Wind (1984) [JAPANESE] [1080p] [BluRay] [YTS.MX]/Nausicaa.Of.The.Valley.Of.The.Wind.1984.JAPANESE.1080p.BluRay.x264.AAC-[YTS.MX].mp4,2092634460,mp4,/media/tushita/TUSHITA_W11_DATA/movies/Nausicaa Of The Valley Of The Wind (1984) [JAPANESE] [1080p] [BluRay] [YTS.MX]/Nausicaa.Of.The.Valley.Of.The.Wind.1984.JAPANESE.1080p.BluRay.x264.AAC-[YTS.MX].mp4,,False
Ocean With David Attenborough,2025,2160p,/media/tushita/TUSHITA_W11_DATA/movies/Ocean With David Attenborough (2025) [2160p] [4K] [WEB] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Ocean With David Attenborough (2025) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Ocean.With.David.Attenborough.2025.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,4026792280,mkv,/media/tushita/TUSHITA_W11_DATA/movies/Ocean With David Attenborough (2025) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Ocean.With.David.Attenborough.2025.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,,False
Over The Top,1987,REPACK,/media/tushita/TUSHITA_W11_DATA/movies/Over The Top (1987) [REPACK] [1080p] [BluRay] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Over The Top (1987) [REPACK] [1080p] [BluRay] [5.1] [YTS.MX]/Over.The.Top.1987.REPACK.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,1851943615,mp4,/media/tushita/TUSHITA_W11_DATA/movies/Over The Top (1987) [REPACK] [1080p] [BluRay] [5.1] [YTS.MX]/Over.The.Top.1987.REPACK.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,False
Paddington In Peru,2024,2160p,/media/tushita/TUSHITA_W11_DATA/movies/Paddington In Peru (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Paddington In Peru (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Paddington.In.Peru.2024.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,5088617999,mkv,/media/tushita/TUSHITA_W11_DATA/movies/Paddington In Peru (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Paddington.In.Peru.2024.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,,False
,,,/media/tushita/TUSHITA_W11_DATA/movies/Pet.Sematary.1989.REMASTERED.1080p.BluRay.x265-RARBG,/media/tushita/TUSHITA_W11_DATA/movies/Pet.Sematary.1989.REMASTERED.1080p.BluRay.x265-RARBG/Pet.Sematary.1989.REMASTERED.1080p.BluRay.x265-RARBG.mp4,1718540035,mp4,/media/tushita/TUSHITA_W11_DATA/movies/Pet.Sematary.1989.REMASTERED.1080p.BluRay.x265-RARBG/Pet.Sematary.1989.REMASTERED.1080p.BluRay.x265-RARBG.mp4,,False
Pokemon 3 The Movie Spell Of The Unown,2000,1080p,/media/tushita/TUSHITA_W11_DATA/movies/Pokemon 3 The Movie Spell Of The Unown (2000) [1080p] [BluRay] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Pokemon 3 The Movie Spell Of The Unown (2000) [1080p] [BluRay] [YTS.MX]/Pokemon.3.The.Movie.Spell.Of.The.Unown.2000.1080p.BluRay.x264.AAC-[YTS.MX].mp4,1313623572,mp4,/media/tushita/TUSHITA_W11_DATA/movies/Pokemon 3 The Movie Spell Of The Unown (2000) [1080p] [BluRay] [YTS.MX]/Pokemon.3.The.Movie.Spell.Of.The.Unown.2000.1080p.BluRay.x264.AAC-[YTS.MX].mp4,,False
Pokemon The First Movie - Mewtwo Strikes Back,1998,DUBBED,/media/tushita/TUSHITA_W11_DATA/movies/Pokemon The First Movie - Mewtwo Strikes Back (1998) [DUBBED] [REPACK] [1080p] [BluRay] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Pokemon The First Movie - Mewtwo Strikes Back (1998) [DUBBED] [REPACK] [1080p] [BluRay] [5.1] [YTS.MX]/Pokemon.The.First.Movie.-.Mewtwo.Strikes.Back.1998.DUBBED.REPACK.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,1474146479,mp4,/media/tushita/TUSHITA_W11_DATA/movies/Pokemon The First Movie - Mewtwo Strikes Back (1998) [DUBBED] [REPACK] [1080p] [BluRay] [5.1] [YTS.MX]/Pokemon.The.First.Movie.-.Mewtwo.Strikes.Back.1998.DUBBED.REPACK.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,False
Pokemon The Movie 2000,1999,(1999),/media/tushita/TUSHITA_W11_DATA/movies/Pokemon The Movie 2000 (1999) [(1999)] [1080p] [BluRay] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Pokemon The Movie 2000 (1999) [(1999)] [1080p] [BluRay] [YTS.MX]/Pokemon.The.Movie.2000.1999.(1999).1080p.BluRay.x264.AAC-[YTS.MX].mp4,1434670821,mp4,/media/tushita/TUSHITA_W11_DATA/movies/Pokemon The Movie 2000 (1999) [(1999)] [1080p] [BluRay] [YTS.MX]/Pokemon.The.Movie.2000.1999.(1999).1080p.BluRay.x264.AAC-[YTS.MX].mp4,,False
Princess Mononoke,1997,BluRay,/media/tushita/TUSHITA_W11_DATA/movies/Princess Mononoke (1997) [BluRay] [1080p] [YTS.AM],/media/tushita/TUSHITA_W11_DATA/movies/Princess Mononoke (1997) [BluRay] [1080p] [YTS.AM]/Princess.Mononoke.1997.1080p.BluRay.x264-[YTS.AM].mp4,2285681583,mp4,/media/tushita/TUSHITA_W11_DATA/movies/Princess Mononoke (1997) [BluRay] [1080p] [YTS.AM]/Princess.Mononoke.1997.1080p.BluRay.x264-[YTS.AM].mp4,,False
Prometheus,2012,2160p,/media/tushita/TUSHITA_W11_DATA/movies/Prometheus (2012) [2160p] [4K] [BluRay] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Prometheus (2012) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Prometheus.2012.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,6917631811,mkv,/media/tushita/TUSHITA_W11_DATA/movies/Prometheus (2012) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Prometheus.2012.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,,False
Rambo First Blood Part II,1985,2160p,/media/tushita/TUSHITA_W11_DATA/movies/Rambo First Blood Part II (1985) [2160p] [4K] [BluRay] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Rambo First Blood Part II (1985) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Rambo.First.Blood.Part.II.1985.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,4641791870,mkv,/media/tushita/TUSHITA_W11_DATA/movies/Rambo First Blood Part II (1985) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Rambo.First.Blood.Part.II.1985.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,,False
Rambo III,1988,2160p,/media/tushita/TUSHITA_W11_DATA/movies/Rambo III (1988) [2160p] [4K] [BluRay] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Rambo III (1988) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Rambo.III.1988.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,4922014249,mkv,/media/tushita/TUSHITA_W11_DATA/movies/Rambo III (1988) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Rambo.III.1988.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,,False
Blade Runner,1982,2160p,/media/tushita/TUSHITA_W11_DATA/movies/Blade Runner (1982) [2160p] [4K] [BluRay] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Blade Runner (1982) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Blade.Runner.1982.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,6015689064,mkv,/media/tushita/TUSHITA_W11_DATA/movies/Blade Runner (1982) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Blade.Runner.1982.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,,False
Dragon,2025,1080p,/media/tushita/TUSHITA_W11_DATA/movies/Dragon (2025) [1080p] [WEBRip] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Dragon (2025) [1080p] [WEBRip] [5.1] [YTS.MX]/Dragon.2025.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,3044059227,mp4,/media/tushita/TUSHITA_W11_DATA/movies/Dragon (2025) [1080p] [WEBRip] [5.1] [YTS.MX]/Dragon.2025.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,,False
Lego Star Wars Terrifying Tales,2021,2160p,/media/tushita/TUSHITA_W11_DATA/movies/Lego Star Wars Terrifying Tales (2021) [2160p] [4K] [WEB] [HDR] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Lego Star Wars Terrifying Tales (2021) [2160p] [4K] [WEB] [HDR] [5.1] [YTS.MX]/Lego.Star.Wars.Terrifying.Tales.2021.2160p.4K.WEB.x265.10bit.HDR.AAC5.1-[YTS.MX].mkv,2143934560,mkv,/media/tushita/TUSHITA_W11_DATA/movies/Lego Star Wars Terrifying Tales (2021) [2160p] [4K] [WEB] [HDR] [5.1] [YTS.MX]/Lego.Star.Wars.Terrifying.Tales.2021.2160p.4K.WEB.x265.10bit.HDR.AAC5.1-[YTS.MX].mkv,,False
Red Sonja,1985,1080p,/media/tushita/TUSHITA_W11_DATA/movies/Red Sonja (1985) [1080p],/media/tushita/TUSHITA_W11_DATA/movies/Red Sonja (1985) [1080p]/Red.Sonja.1985.1080p.BluRay.x264.YIFY.mp4,1335796161,mp4,/media/tushita/TUSHITA_W11_DATA/movies/Red Sonja (1985) [1080p]/Red.Sonja.1985.1080p.BluRay.x264.YIFY.mp4,,False
Song of the Sea,2014,1080p,/media/tushita/TUSHITA_W11_DATA/movies/Song of the Sea (2014) [1080p],/media/tushita/TUSHITA_W11_DATA/movies/Song of the Sea (2014) [1080p]/Song.of.the.Sea.2014.1080p.BluRay.x264.YIFY.mp4,1552845504,mp4,/media/tushita/TUSHITA_W11_DATA/movies/Song of the Sea (2014) [1080p]/Song.of.the.Sea.2014.1080p.BluRay.x264.YIFY.mp4,,False
The Godfather,1972,1080p,/media/tushita/TUSHITA_W11_DATA/movies/The Godfather (1972) [1080p],/media/tushita/TUSHITA_W11_DATA/movies/The Godfather (1972) [1080p]/The.Godfather.1972.1080p.BrRip.x264.BOKUTOX.YIFY.mp4,2578092818,mp4,/media/tushita/TUSHITA_W11_DATA/movies/The Godfather (1972) [1080p]/The.Godfather.1972.1080p.BrRip.x264.BOKUTOX.YIFY.mp4,,False
The Princess Bride,1987,2160p,/media/tushita/TUSHITA_W11_DATA/movies/The Princess Bride (1987) [2160p] [4K] [BluRay] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/The Princess Bride (1987) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/The.Princess.Bride.1987.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,4743224307,mkv,/media/tushita/TUSHITA_W11_DATA/movies/The Princess Bride (1987) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/The.Princess.Bride.1987.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,,False
Transformers One,2024,1080p,/media/tushita/TUSHITA_W11_DATA/movies/Transformers One (2024) [1080p] [WEBRip] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Transformers One (2024) [1080p] [WEBRip] [5.1] [YTS.MX]/Transformers.One.2024.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,2062755246,mp4,/media/tushita/TUSHITA_W11_DATA/movies/Transformers One (2024) [1080p] [WEBRip] [5.1] [YTS.MX]/Transformers.One.2024.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,,False
Spartacus,1960,2160p,/media/tushita/TUSHITA_W11_DATA/movies/Spartacus (1960) [2160p] [4K] [BluRay] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Spartacus (1960) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Spartacus.1960.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,9612472723,mkv,/media/tushita/TUSHITA_W11_DATA/movies/Spartacus (1960) [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Spartacus.1960.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,,False
,,,/media/tushita/TUSHITA_W11_DATA/movies/Spellbound.2024.1080p.NF.WEBRip.1400MB.DD5.1.x264-GalaxyRG[TGx],/media/tushita/TUSHITA_W11_DATA/movies/Spellbound.2024.1080p.NF.WEBRip.1400MB.DD5.1.x264-GalaxyRG[TGx]/Spellbound.2024.1080p.NF.WEBRip.1400MB.DD5.1.x264-GalaxyRG.mkv,1510084646,mkv,/media/tushita/TUSHITA_W11_DATA/movies/Spellbound.2024.1080p.NF.WEBRip.1400MB.DD5.1.x264-GalaxyRG[TGx]/Spellbound.2024.1080p.NF.WEBRip.1400MB.DD5.1.x264-GalaxyRG.mkv,,False
Swordfish,2001,1080p,/media/tushita/TUSHITA_W11_DATA/movies/Swordfish (2001) [1080p] [BluRay] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Swordfish (2001) [1080p] [BluRay] [5.1] [YTS.MX]/Swordfish.2001.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,1965432488,mp4,/media/tushita/TUSHITA_W11_DATA/movies/Swordfish (2001) [1080p] [BluRay] [5.1] [YTS.MX]/Swordfish.2001.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,False
Taxi Driver,1976,2160p,/media/tushita/TUSHITA_W11_DATA/movies/Taxi Driver (1976) [2160p] [4K] [BluRay] [HDR] [5.1] [YTS.MX],/media/tushita/TUSHITA_W11_DATA/movies/Taxi Driver (1976) [2160p] [4K] [BluRay] [HDR] [5.1] [YTS.MX]/Taxi.Driver.1976.2160p.4K.BluRay.x265.10bit.HDR.AAC5.1-[YTS.MX].mkv,6078538404,mkv,/media/tushita/TUSHITA_W11_DATA/movies/Taxi Driver (1976) [2160p] [4K] [BluRay] [HDR] [5.1] [YTS.MX]/Taxi.Driver.1976.2160p.4K.BluRay.x265.10bit.HDR.AAC5.1-[YTS.MX].mkv,,False
,,,/media/tushita/TUSHITA_W11_DATA/movies/Tenkuu no Escaflowne,/media/tushita/TUSHITA_W11_DATA/movies/Tenkuu no Escaflowne/[Cleo]Tenkuu_no_Escaflowne_-_10_(Dual Audio_10bit_BD1080p_x265).mkv,542472521,mkv,/media/tushita/TUSHITA_W11_DATA/movies/Tenkuu no Escaflowne/[Cleo]Tenkuu_no_Escaflowne_-_10_(Dual Audio_10bit_BD1080p_x265).mkv,,False
,,,/media/tushita/TUSHITA_W11_DATA/movies/Tenkuu no Escaflowne,/media/tushita/TUSHITA_W11_DATA/movies/Tenkuu no Escaflowne/[Cleo]Tenkuu_no_Escaflowne_-_01_(Dual Audio_10bit_BD1080p_x265).mkv,842563552,mkv,/media/tushita/TUSHITA_W11_DATA/movies/Tenkuu no Escaflowne/[Cleo]Tenkuu_no_Escaflowne_-_01_(Dual Audio_10bit_BD1080p_x265).mkv,,False
,,,/media/tushita/TUSHITA_W11_DATA/movies/Tenkuu no Escaflowne,/media/tushita/TUSHITA_W11_DATA/movies/Tenkuu no Escaflowne/[Cleo]Tenkuu_no_Escaflowne_-_02_(Dual Audio_10bit_BD1080p_x265).mkv,749118229,mkv,/media/tushita/TUSHITA_W11_DATA/movies/Tenkuu no Escaflowne/[Cleo]Tenkuu_no_Escaflowne_-_02_(Dual Audio_10bit_BD1080p_x265).mkv,,False
,,,/media/tushita/TUSHITA_W11_DATA/movies/Tenkuu no Escaflowne,/media/tushita/TUSHITA_W11_DATA/movies/Tenkuu no Escaflowne/[Cleo]Tenkuu_no_Escaflowne_-_03_(Dual Audio_10bit_BD1080p_x265).mkv,633778440,mkv,/media/tushita/TUSHITA_W11_DATA/movies/Tenkuu no Escaflowne/[Cleo]Tenkuu_no_Escaflowne_-_03_(Dual Audio_10bit_BD1080p_x265).mkv,,False
