name,year,quality,path,relative_path,folder,category,directory
Spellbound,2024,1080p,/media/tushita/DATA/movies/Spellbound.2024.1080p.NF.WEBRip.1400MB.DD5.1.x264-GalaxyRG[TGx]/Spellbound.2024.1080p.NF.WEBRip.1400MB.DD5.1.x264-GalaxyRG.mkv,Spellbound.2024.1080p.NF.WEBRip.1400MB.DD5.1.x264-GalaxyRG[TGx]/Spellbound.2024.1080p.NF.WEBRip.1400MB.DD5.1.x264-GalaxyRG.mkv,Spellbound.2024.1080p.NF.WEBRip.1400MB.DD5.1.x264-GalaxyRG[TGx],Spellbound.2024.1080p.NF.WEBRip.1400MB.DD5.1.x264-GalaxyRG[TGx],Spellbound.2024.1080p.NF.WEBRip.1400MB.DD5.1.x264-GalaxyRG[TGx]
Taxi Driver,1976,2160p,/media/tushita/DATA/movies/Taxi Driver (1976) [2160p] [4K] [BluRay] [HDR] [5.1] [YTS.MX]/Taxi.Driver.1976.2160p.4K.BluRay.x265.10bit.HDR.AAC5.1-[YTS.MX].mkv,Taxi Driver (1976) [2160p] [4K] [BluRay] [HDR] [5.1] [YTS.MX]/Taxi.Driver.1976.2160p.4K.BluRay.x265.10bit.HDR.AAC5.1-[YTS.MX].mkv,Taxi Driver (1976) [2160p] [4K] [BluRay] [HDR] [5.1] [YTS.MX],Taxi Driver (1976) [2160p] [4K] [BluRay] [HDR] [5.1] [YTS.MX],Taxi Driver (1976) [2160p] [4K] [BluRay] [HDR] [5.1] [YTS.MX]
Terminator 2,1991,1080p,/media/tushita/DATA/movies/Terminator 2 (1991) [1080p] [YTS.AG]/Terminator.2.1991.1080p.BluRay.x264-[YTS.AG].mp4,Terminator 2 (1991) [1080p] [YTS.AG]/Terminator.2.1991.1080p.BluRay.x264-[YTS.AG].mp4,Terminator 2 (1991) [1080p] [YTS.AG],Terminator 2 (1991) [1080p] [YTS.AG],Terminator 2 (1991) [1080p] [YTS.AG]
Terminator 2 Judgment Day,1991,2160p,/media/tushita/DATA/movies/Terminator 2 Judgment Day (1991) [THEATRICAL] [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Terminator.2.Judgment.Day.1991.THEATRICAL.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,Terminator 2 Judgment Day (1991) [THEATRICAL] [2160p] [4K] [BluRay] [5.1] [YTS.MX]/Terminator.2.Judgment.Day.1991.THEATRICAL.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,Terminator 2 Judgment Day (1991) [THEATRICAL] [2160p] [4K] [BluRay] [5.1] [YTS.MX],Terminator 2 Judgment Day (1991) [THEATRICAL] [2160p] [4K] [BluRay] [5.1] [YTS.MX],Terminator 2 Judgment Day (1991) [THEATRICAL] [2160p] [4K] [BluRay] [5.1] [YTS.MX]
The Boy And The Heron,2023,1080p,/media/tushita/DATA/movies/The Boy And The Heron (2023) [1080p] [WEBRip] [5.1] [YTS.MX]/The.Boy.And.The.Heron.2023.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,The Boy And The Heron (2023) [1080p] [WEBRip] [5.1] [YTS.MX]/The.Boy.And.The.Heron.2023.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,The Boy And The Heron (2023) [1080p] [WEBRip] [5.1] [YTS.MX],The Boy And The Heron (2023) [1080p] [WEBRip] [5.1] [YTS.MX],The Boy And The Heron (2023) [1080p] [WEBRip] [5.1] [YTS.MX]
The Croods A New Age,2020,1080p,/media/tushita/DATA/movies/The Croods A New Age (2020) [1080p] [BluRay] [5.1] [YTS.MX]/The.Croods.A.New.Age.2020.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,The Croods A New Age (2020) [1080p] [BluRay] [5.1] [YTS.MX]/The.Croods.A.New.Age.2020.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,The Croods A New Age (2020) [1080p] [BluRay] [5.1] [YTS.MX],The Croods A New Age (2020) [1080p] [BluRay] [5.1] [YTS.MX],The Croods A New Age (2020) [1080p] [BluRay] [5.1] [YTS.MX]
The Electric State,2025,2160p,/media/tushita/DATA/movies/The Electric State (2025) [2160p] [4K] [WEB] [5.1] [YTS.MX]/The.Electric.State.2025.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,The Electric State (2025) [2160p] [4K] [WEB] [5.1] [YTS.MX]/The.Electric.State.2025.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,The Electric State (2025) [2160p] [4K] [WEB] [5.1] [YTS.MX],The Electric State (2025) [2160p] [4K] [WEB] [5.1] [YTS.MX],The Electric State (2025) [2160p] [4K] [WEB] [5.1] [YTS.MX]
The Godfather Part 2,1974,1080p,/media/tushita/DATA/movies/The Godfather Part 2 (1974) [1080p]/The.Godfather.Part.2.1974.1080p.BrRip.x264.BOKUTOX.YIFY.mp4,The Godfather Part 2 (1974) [1080p]/The.Godfather.Part.2.1974.1080p.BrRip.x264.BOKUTOX.YIFY.mp4,The Godfather Part 2 (1974) [1080p],The Godfather Part 2 (1974) [1080p],The Godfather Part 2 (1974) [1080p]
The Iron Giant,1999,1080p,/media/tushita/DATA/movies/The Iron Giant (1999) [DIRECTOR CUT] [REPACK] [1080p] [BluRay] [5.1] [YTS.MX]/The.Iron.Giant.1999.DIRECTOR.CUT.REPACK.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,The Iron Giant (1999) [DIRECTOR CUT] [REPACK] [1080p] [BluRay] [5.1] [YTS.MX]/The.Iron.Giant.1999.DIRECTOR.CUT.REPACK.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,The Iron Giant (1999) [DIRECTOR CUT] [REPACK] [1080p] [BluRay] [5.1] [YTS.MX],The Iron Giant (1999) [DIRECTOR CUT] [REPACK] [1080p] [BluRay] [5.1] [YTS.MX],The Iron Giant (1999) [DIRECTOR CUT] [REPACK] [1080p] [BluRay] [5.1] [YTS.MX]
The Last Airbender,2010,2160p,/media/tushita/DATA/movies/The Last Airbender (2010) [2160p] [4K] [WEB] [5.1] [YTS.MX]/The.Last.Airbender.2010.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,The Last Airbender (2010) [2160p] [4K] [WEB] [5.1] [YTS.MX]/The.Last.Airbender.2010.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,The Last Airbender (2010) [2160p] [4K] [WEB] [5.1] [YTS.MX],The Last Airbender (2010) [2160p] [4K] [WEB] [5.1] [YTS.MX],The Last Airbender (2010) [2160p] [4K] [WEB] [5.1] [YTS.MX]
The Lego Star Wars Holiday Special,2020,1080p,/media/tushita/DATA/movies/The Lego Star Wars Holiday Special (2020) [1080p] [BluRay] [5.1] [YTS.MX]/The.Lego.Star.Wars.Holiday.Special.2020.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,The Lego Star Wars Holiday Special (2020) [1080p] [BluRay] [5.1] [YTS.MX]/The.Lego.Star.Wars.Holiday.Special.2020.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,The Lego Star Wars Holiday Special (2020) [1080p] [BluRay] [5.1] [YTS.MX],The Lego Star Wars Holiday Special (2020) [1080p] [BluRay] [5.1] [YTS.MX],The Lego Star Wars Holiday Special (2020) [1080p] [BluRay] [5.1] [YTS.MX]
The Lord Of The Rings The Fellowship Of The Ring,2001,2160p,/media/tushita/DATA/movies/The Lord Of The Rings The Fellowship Of The Ring (2001) [EXTENDED] [2160p] [4K] [BluRay] [5.1] [YTS.MX]/The.Lord.Of.The.Rings.The.Fellowship.Of.The.Ring.2001.EXTENDED.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,The Lord Of The Rings The Fellowship Of The Ring (2001) [EXTENDED] [2160p] [4K] [BluRay] [5.1] [YTS.MX]/The.Lord.Of.The.Rings.The.Fellowship.Of.The.Ring.2001.EXTENDED.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,The Lord Of The Rings The Fellowship Of The Ring (2001) [EXTENDED] [2160p] [4K] [BluRay] [5.1] [YTS.MX],The Lord Of The Rings The Fellowship Of The Ring (2001) [EXTENDED] [2160p] [4K] [BluRay] [5.1] [YTS.MX],The Lord Of The Rings The Fellowship Of The Ring (2001) [EXTENDED] [2160p] [4K] [BluRay] [5.1] [YTS.MX]
The Lord Of The Rings The Return Of The King,2003,2160p,/media/tushita/DATA/movies/The Lord Of The Rings The Return Of The King (2003) [EXTENDED] [2160p] [4K] [BluRay] [5.1] [YTS.MX]/The.Lord.Of.The.Rings.The.Return.Of.The.King.2003.EXTENDED.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,The Lord Of The Rings The Return Of The King (2003) [EXTENDED] [2160p] [4K] [BluRay] [5.1] [YTS.MX]/The.Lord.Of.The.Rings.The.Return.Of.The.King.2003.EXTENDED.2160p.4K.BluRay.x265.10bit.AAC5.1-[YTS.MX].mkv,The Lord Of The Rings The Return Of The King (2003) [EXTENDED] [2160p] [4K] [BluRay] [5.1] [YTS.MX],The Lord Of The Rings The Return Of The King (2003) [EXTENDED] [2160p] [4K] [BluRay] [5.1] [YTS.MX],The Lord Of The Rings The Return Of The King (2003) [EXTENDED] [2160p] [4K] [BluRay] [5.1] [YTS.MX]
