name,year,quality,path,relative_path,folder,category,directory
Furiosa A Mad Max Saga,2024,2160p,/media/tushita/DATA/movies/Furiosa A Mad Max Saga (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Furiosa.A.Mad.Max.Saga.2024.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,Furiosa A Mad Max Saga (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Furiosa.A.Mad.Max.Saga.2024.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,Furiosa A Mad Max Saga (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX],Furiosa A Mad Max Saga (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX],Furiosa A Mad Max Saga (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]
Godzilla X Kong The New Empire,2024,2160p,/media/tushita/DATA/movies/Godzilla X Kong The New Empire (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Godzilla.X.Kong.The.New.Empire.2024.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,Godzilla X Kong The New Empire (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Godzilla.X.Kong.The.New.Empire.2024.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,Godzilla X Kong The New Empire (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX],Godzilla X Kong The New Empire (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX],Godzilla X Kong The New Empire (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]
Gullivers Travels,2010,1080p,/media/tushita/DATA/movies/Gullivers Travels (2010) [1080p] [BluRay] [5.1] [YTS.MX]/Gullivers.Travels.2010.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,Gullivers Travels (2010) [1080p] [BluRay] [5.1] [YTS.MX]/Gullivers.Travels.2010.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,Gullivers Travels (2010) [1080p] [BluRay] [5.1] [YTS.MX],Gullivers Travels (2010) [1080p] [BluRay] [5.1] [YTS.MX],Gullivers Travels (2010) [1080p] [BluRay] [5.1] [YTS.MX]
Harry Potter And The Deathly Hallows Part 1,2010,2160p,/media/tushita/DATA/movies/Harry Potter And The Deathly Hallows Part 1 (2010) [2160p] [4K] [BluRay] [HDR] [5.1] [YTS.MX]/Harry.Potter.And.The.Deathly.Hallows.Part.1.2010.2160p.4K.BluRay.x265.10bit.HDR.AAC5.1-[YTS.MX].mkv,Harry Potter And The Deathly Hallows Part 1 (2010) [2160p] [4K] [BluRay] [HDR] [5.1] [YTS.MX]/Harry.Potter.And.The.Deathly.Hallows.Part.1.2010.2160p.4K.BluRay.x265.10bit.HDR.AAC5.1-[YTS.MX].mkv,Harry Potter And The Deathly Hallows Part 1 (2010) [2160p] [4K] [BluRay] [HDR] [5.1] [YTS.MX],Harry Potter And The Deathly Hallows Part 1 (2010) [2160p] [4K] [BluRay] [HDR] [5.1] [YTS.MX],Harry Potter And The Deathly Hallows Part 1 (2010) [2160p] [4K] [BluRay] [HDR] [5.1] [YTS.MX]
The Return Of The King,1980,1080p,/media/tushita/DATA/movies/The Return Of The King (1980) [1080p] [WEBRip] [YTS.MX]/The.Return.Of.The.King.1980.1080p.WEBRip.x264.AAC-[YTS.MX].mp4,The Return Of The King (1980) [1080p] [WEBRip] [YTS.MX]/The.Return.Of.The.King.1980.1080p.WEBRip.x264.AAC-[YTS.MX].mp4,The Return Of The King (1980) [1080p] [WEBRip] [YTS.MX],The Return Of The King (1980) [1080p] [WEBRip] [YTS.MX],The Return Of The King (1980) [1080p] [WEBRip] [YTS.MX]
The Ritchie Blackmore Story,2015,1080p,/media/tushita/DATA/movies/The Ritchie Blackmore Story (2015) [1080p] [BluRay] [5.1] [YTS.MX]/The.Ritchie.Blackmore.Story.2015.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,The Ritchie Blackmore Story (2015) [1080p] [BluRay] [5.1] [YTS.MX]/The.Ritchie.Blackmore.Story.2015.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,The Ritchie Blackmore Story (2015) [1080p] [BluRay] [5.1] [YTS.MX],The Ritchie Blackmore Story (2015) [1080p] [BluRay] [5.1] [YTS.MX],The Ritchie Blackmore Story (2015) [1080p] [BluRay] [5.1] [YTS.MX]
The Vikings,1958,1080p,/media/tushita/DATA/movies/The Vikings (1958) [1080p] [YTS.AG]/The.Vikings.1958.1080p.BluRay.x264-[YTS.AG].mp4,The Vikings (1958) [1080p] [YTS.AG]/The.Vikings.1958.1080p.BluRay.x264-[YTS.AG].mp4,The Vikings (1958) [1080p] [YTS.AG],The Vikings (1958) [1080p] [YTS.AG],The Vikings (1958) [1080p] [YTS.AG]
The Way We Were,1973,1080p,/media/tushita/DATA/movies/The Way We Were (1973) [1080p] [BluRay] [5.1] [YTS.MX]/The.Way.We.Were.1973.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,The Way We Were (1973) [1080p] [BluRay] [5.1] [YTS.MX]/The.Way.We.Were.1973.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,The Way We Were (1973) [1080p] [BluRay] [5.1] [YTS.MX],The Way We Were (1973) [1080p] [BluRay] [5.1] [YTS.MX],The Way We Were (1973) [1080p] [BluRay] [5.1] [YTS.MX]
The Wild Robot,2024,2160p,/media/tushita/DATA/movies/The Wild Robot (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]/The.Wild.Robot.2024.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,The Wild Robot (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]/The.Wild.Robot.2024.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,The Wild Robot (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX],The Wild Robot (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX],The Wild Robot (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]
The Lord of the Rings The Return Of The King,2003,2160p,/media/tushita/DATA/movies/The.Lord.of.the.Rings.The.Return.Of.The.King.2003.EXTENDED.2160p.UHD.BluRay.x265.10bit.HDR.DDP5.1-RARBG/The.Lord.of.the.Rings.The.Return.Of.The.King.2003.EXTENDED.2160p.UHD.BluRay.x265.10bit.HDR.DDP5.1-RARBG.mkv,The.Lord.of.the.Rings.The.Return.Of.The.King.2003.EXTENDED.2160p.UHD.BluRay.x265.10bit.HDR.DDP5.1-RARBG/The.Lord.of.the.Rings.The.Return.Of.The.King.2003.EXTENDED.2160p.UHD.BluRay.x265.10bit.HDR.DDP5.1-RARBG.mkv,The.Lord.of.the.Rings.The.Return.Of.The.King.2003.EXTENDED.2160p.UHD.BluRay.x265.10bit.HDR.DDP5.1-RARBG,The.Lord.of.the.Rings.The.Return.Of.The.King.2003.EXTENDED.2160p.UHD.BluRay.x265.10bit.HDR.DDP5.1-RARBG,The.Lord.of.the.Rings.The.Return.Of.The.King.2003.EXTENDED.2160p.UHD.BluRay.x265.10bit.HDR.DDP5.1-RARBG
The Lord Of The Rings The War Of The Rohirrim,2024,1080p,/media/tushita/DATA/movies/The.Lord.Of.The.Rings.The.War.Of.The.Rohirrim.2024.1080p.WEBRip.10Bit.DDP5.1.x265-Asiimov/The.Lord.Of.The.Rings.The.War.Of.The.Rohirrim.2024.1080p.WEBRip.10Bit.DDP5.1.x265-Asiimov.mkv,The.Lord.Of.The.Rings.The.War.Of.The.Rohirrim.2024.1080p.WEBRip.10Bit.DDP5.1.x265-Asiimov/The.Lord.Of.The.Rings.The.War.Of.The.Rohirrim.2024.1080p.WEBRip.10Bit.DDP5.1.x265-Asiimov.mkv,The.Lord.Of.The.Rings.The.War.Of.The.Rohirrim.2024.1080p.WEBRip.10Bit.DDP5.1.x265-Asiimov,The.Lord.Of.The.Rings.The.War.Of.The.Rohirrim.2024.1080p.WEBRip.10Bit.DDP5.1.x265-Asiimov,The.Lord.Of.The.Rings.The.War.Of.The.Rohirrim.2024.1080p.WEBRip.10Bit.DDP5.1.x265-Asiimov
the tale of the princess kaguya,2013,hd,/media/tushita/DATA/movies/The.Tale.of.the.Princess.Kaguya.2013.BDRip.x264-PSYCHD[rarbg]/the.tale.of.the.princess.kaguya.2013.bdrip.x264-psychd.mkv,The.Tale.of.the.Princess.Kaguya.2013.BDRip.x264-PSYCHD[rarbg]/the.tale.of.the.princess.kaguya.2013.bdrip.x264-psychd.mkv,The.Tale.of.the.Princess.Kaguya.2013.BDRip.x264-PSYCHD[rarbg],The.Tale.of.the.Princess.Kaguya.2013.BDRip.x264-PSYCHD[rarbg],The.Tale.of.the.Princess.Kaguya.2013.BDRip.x264-PSYCHD[rarbg]
Thunderbolt And Lightfoot,1974,1080p,/media/tushita/DATA/movies/Thunderbolt And Lightfoot (1974) [REMASTERED] [1080p] [BluRay] [5.1] [YTS.MX]/Thunderbolt.And.Lightfoot.1974.REMASTERED.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,Thunderbolt And Lightfoot (1974) [REMASTERED] [1080p] [BluRay] [5.1] [YTS.MX]/Thunderbolt.And.Lightfoot.1974.REMASTERED.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,Thunderbolt And Lightfoot (1974) [REMASTERED] [1080p] [BluRay] [5.1] [YTS.MX],Thunderbolt And Lightfoot (1974) [REMASTERED] [1080p] [BluRay] [5.1] [YTS.MX],Thunderbolt And Lightfoot (1974) [REMASTERED] [1080p] [BluRay] [5.1] [YTS.MX]
Turbo A Power Rangers Movie,1997,1080p,/media/tushita/DATA/movies/Turbo A Power Rangers Movie (1997) [1080p] [BluRay] [5.1] [YTS.MX]/Turbo.A.Power.Rangers.Movie.1997.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,Turbo A Power Rangers Movie (1997) [1080p] [BluRay] [5.1] [YTS.MX]/Turbo.A.Power.Rangers.Movie.1997.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,Turbo A Power Rangers Movie (1997) [1080p] [BluRay] [5.1] [YTS.MX],Turbo A Power Rangers Movie (1997) [1080p] [BluRay] [5.1] [YTS.MX],Turbo A Power Rangers Movie (1997) [1080p] [BluRay] [5.1] [YTS.MX]
Wallace Gromit Vengeance Most Fowl,2024,1080p,/media/tushita/DATA/movies/Wallace Gromit Vengeance Most Fowl (2024) [1080p] [WEBRip] [x265] [10bit] [YTS.MX]/Wallace.Gromit.Vengeance.Most.Fowl.2024.1080p.WEBRip.x265.10bit.AAC-[YTS.MX].mp4,Wallace Gromit Vengeance Most Fowl (2024) [1080p] [WEBRip] [x265] [10bit] [YTS.MX]/Wallace.Gromit.Vengeance.Most.Fowl.2024.1080p.WEBRip.x265.10bit.AAC-[YTS.MX].mp4,Wallace Gromit Vengeance Most Fowl (2024) [1080p] [WEBRip] [x265] [10bit] [YTS.MX],Wallace Gromit Vengeance Most Fowl (2024) [1080p] [WEBRip] [x265] [10bit] [YTS.MX],Wallace Gromit Vengeance Most Fowl (2024) [1080p] [WEBRip] [x265] [10bit] [YTS.MX]
Wicked,2024,2160p,/media/tushita/DATA/movies/Wicked (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Wicked.2024.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,Wicked (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Wicked.2024.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,Wicked (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX],Wicked (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX],Wicked (2024) [2160p] [4K] [WEB] [5.1] [YTS.MX]
[Trix] Escaflowne The Movie,2000,1080p,/media/tushita/DATA/movies/[Trix] Escaflowne (Season 1 + Movie) - AV1/[Trix] Escaflowne The Movie (2000) (BD 1080p AV1).mkv,[Trix] Escaflowne (Season 1 + Movie) - AV1/[Trix] Escaflowne The Movie (2000) (BD 1080p AV1).mkv,[Trix] Escaflowne (Season 1 + Movie) - AV1,[Trix] Escaflowne (Season 1 + Movie) - AV1,[Trix] Escaflowne (Season 1 + Movie) - AV1
Rocky,1976,2160p,/media/tushita/DATA/movies/Rocky (1976) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Rocky.1976.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,Rocky (1976) [2160p] [4K] [WEB] [5.1] [YTS.MX]/Rocky.1976.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.MX].mkv,Rocky (1976) [2160p] [4K] [WEB] [5.1] [YTS.MX],Rocky (1976) [2160p] [4K] [WEB] [5.1] [YTS.MX],Rocky (1976) [2160p] [4K] [WEB] [5.1] [YTS.MX]
Rocky,1976,1080p,/media/tushita/DATA/movies/Rocky.1976.REMASTERED.1080p.BluRay.x265-RARBG/Rocky.1976.REMASTERED.1080p.BluRay.x265-RARBG.mp4,Rocky.1976.REMASTERED.1080p.BluRay.x265-RARBG/Rocky.1976.REMASTERED.1080p.BluRay.x265-RARBG.mp4,Rocky.1976.REMASTERED.1080p.BluRay.x265-RARBG,Rocky.1976.REMASTERED.1080p.BluRay.x265-RARBG,Rocky.1976.REMASTERED.1080p.BluRay.x265-RARBG
Roman Holiday,1953,1080p,/media/tushita/DATA/movies/Roman Holiday (1953) [1080p] [BluRay] [YTS.MX]/Roman.Holiday.1953.1080p.BluRay.x264.AAC-[YTS.MX].mp4,Roman Holiday (1953) [1080p] [BluRay] [YTS.MX]/Roman.Holiday.1953.1080p.BluRay.x264.AAC-[YTS.MX].mp4,Roman Holiday (1953) [1080p] [BluRay] [YTS.MX],Roman Holiday (1953) [1080p] [BluRay] [YTS.MX],Roman Holiday (1953) [1080p] [BluRay] [YTS.MX]
Sing Thriller,2024,1080p,/media/tushita/DATA/movies/Sing Thriller (2024) [1080p] [WEBRip] [5.1] [YTS.MX]/Sing.Thriller.2024.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,Sing Thriller (2024) [1080p] [WEBRip] [5.1] [YTS.MX]/Sing.Thriller.2024.1080p.WEBRip.x264.AAC5.1-[YTS.MX].mp4,Sing Thriller (2024) [1080p] [WEBRip] [5.1] [YTS.MX],Sing Thriller (2024) [1080p] [WEBRip] [5.1] [YTS.MX],Sing Thriller (2024) [1080p] [WEBRip] [5.1] [YTS.MX]
